Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,78.63,80.22,78.59,80.15,683500,80.15
2011-12-29,78.32,79.13,78.30,78.91,634500,78.91
2011-12-28,78.69,78.74,78.04,78.65,482200,78.65
2011-12-23,78.29,78.80,77.97,78.45,639200,78.45
2011-12-22,77.89,78.44,77.60,78.39,1006800,78.39
2011-12-21,76.76,77.48,76.54,77.48,1820000,77.48
2011-12-20,76.61,77.22,76.29,76.92,2061700,76.92
2011-12-19,76.03,76.98,75.57,75.75,1108300,75.75
2011-12-16,75.00,76.60,75.00,76.00,2763600,76.00
2011-12-15,77.09,77.09,74.22,75.03,1300000,75.03
2011-12-14,77.24,77.37,75.93,76.25,1473400,76.25
2011-12-13,78.55,78.90,76.87,77.44,1600000,77.44
2011-12-12,78.57,78.90,77.57,78.59,1200000,78.59
2011-12-09,79.02,79.41,78.53,78.97,1105700,78.97
2011-12-08,78.80,80.00,78.71,78.85,1002900,78.85
2011-12-07,78.27,79.16,77.77,78.96,1212400,78.96
2011-12-06,79.40,79.86,78.31,78.39,1228100,78.07
2011-12-05,79.42,80.46,79.40,79.86,722800,79.53
2011-12-02,78.99,79.26,78.39,78.80,887100,78.47
2011-12-01,78.61,79.07,78.27,78.50,1135100,78.17
2011-11-30,78.16,79.24,78.06,78.87,1192800,78.54
2011-11-29,77.08,77.68,76.88,77.23,539100,76.91
2011-11-28,77.41,78.30,76.91,77.13,1028800,76.81
2011-11-25,76.75,77.65,76.46,77.42,530400,77.10
2011-11-24,77.16,77.25,76.16,77.02,266600,76.70
2011-11-23,78.00,78.00,77.34,77.51,1130500,77.19
2011-11-22,78.47,78.95,78.24,78.51,843700,78.18
2011-11-21,78.89,79.42,78.36,78.75,1062100,78.42
2011-11-18,78.52,80.07,78.12,80.02,1000000,79.69
2011-11-17,78.89,79.35,78.29,78.79,1395900,78.46
2011-11-16,79.50,79.84,79.07,79.13,1200000,78.80
2011-11-15,80.27,80.78,80.08,80.28,928200,79.95
2011-11-14,81.23,81.37,80.01,80.51,707000,80.18
2011-11-11,81.14,81.79,80.55,80.78,512200,80.45
2011-11-10,79.45,81.05,79.45,80.59,903600,80.26
2011-11-09,78.86,80.09,78.86,79.06,877000,78.73
2011-11-08,80.68,81.05,79.62,80.62,662300,80.29
